Symbol,Company Name,Industry,Market Cap
ARKR,Ark Restaurants Corp.,Restaurants,54062400
ARL,"American Realty Investors, Inc.",Real Estate - Development,394754880
ARLO,"Arlo Technologies, Inc.",Security & Protection Services,851657400
ARLP,"Alliance Resource Partners, L.P.",Thermal Coal,2815818750
ARM,Arm Holdings plc,Semiconductors,79055793663
ARMK,Aramark,Specialty Business Services,7509419931
ARMN,Aris Mining Corporation,Gold,394202380
ARMP,"Armata Pharmaceuticals, Inc.",Biotechnology,140248808
AROC,"Archrock, Inc.",Oil & Gas Equipment & Services,2461034660
AROW,Arrow Financial Corporation,Banks - Regional,458446464
ARQQ,Arqit Quantum Inc.,Software - Infrastructure,75472660
ARQT,"Arcutis Biotherapeutics, Inc.",Biotechnology,342645804
ARR,"ARMOUR Residential REIT, Inc.",REIT - Mortgage,931402554
ARRW,Arrowroot Acquisition Corp.,Shell Companies,122498775
ARRY,"Array Technologies, Inc.",Solar,1993026880
ARTL,"Artelo Biosciences, Inc.",Biotechnology,4432654
ARTNA,Artesian Resources Corporation,Utilities - Regulated Water,390834181
ARTW,"Art's-Way Manufacturing Co., Inc.",Farm & Heavy Construction Machinery,10364800
ARVL,Arrival,Auto Manufacturers,13995437
ARVN,"Arvinas, Inc.",Biotechnology,2011182025
ARW,"Arrow Electronics, Inc.",Electronics & Computer Distribution,6333941830
ARWR,"Arrowhead Pharmaceuticals, Inc.",Biotechnology,3565668080
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,87359188
ASA,ASA Gold and Precious Metals Limited,Asset Management,275652671
ASAI,Sendas Distribuidora S.A.,Grocery Stores,3690495900
ASAN,"Asana, Inc.",Software - Application,4237061316
ASB,Associated Banc-Corp,Banks - Regional,3290492000
ASC,Ardmore Shipping Corporation,Marine Shipping,643385448
ASCA,A SPAC I Acquisition Corp.,Shell Companies,40879398
ASCB,A SPAC II Acquisition Corporation,Shell Companies,79676590
ASGN,ASGN Incorporated,Information Technology Services,4478336000
ASH,Ashland Inc.,Specialty Chemicals,4006386192
ASIX,AdvanSix Inc.,Chemicals,694866386
ASLE,AerSale Corporation,Airports & Air Services,563434816
ASLN,ASLAN Pharmaceuticals Limited,Biotechnology,9091490
ASM,Avino Silver & Gold Mines Ltd.,Other Precious Metals & Mining,57559090
ASMB,"Assembly Biosciences, Inc.",Biotechnology,55937549
ASML,ASML Holding N.V.,Semiconductor Equipment & Materials,302523777425
ASND,Ascendis Pharma A/S,Biotechnology,7585864691
